frame_num,detection_result
0,"{1:((155,206),(23,19)),2:((9,145),(18,19))}"
1,"{1:((155,206),(23,19)),2:((9,145),(18,19))}"
2,"{1:((156,206),(23,19)),2:((9,145),(18,19))}"
3,"{1:((155,206),(23,19)),2:((9,145),(18,19))}"
4,"{1:((155,206),(23,19)),2:((9,145),(18,19))}"
5,"{1:((156,206),(23,19)),2:((9,145),(18,19))}"
6,"{1:((156,206),(23,19)),2:((9,145),(18,19))}"
7,"{1:((154,206),(23,19)),2:((9,145),(18,19))}"
8,"{1:((155,206),(23,19)),2:((9,145),(18,19))}"
9,"{1:((155,206),(23,19)),2:((11,146),(18,19))}"
10,"{1:((155,206),(23,19))}"
11,"{1:((155,206),(23,19))}"
12,"{1:((155,206),(23,19))}"
13,"{0:((25,155),(20,17)),1:((155,206),(23,19))}"
14,"{0:((28,156),(23,19)),1:((154,206),(23,19))}"
15,"{0:((33,158),(23,19)),1:((155,206),(23,19))}"
16,"{0:((40,160),(18,17)),1:((155,206),(23,19))}"
17,"{0:((37,159),(23,19)),1:((155,206),(23,19))}"
18,"{0:((42,162),(23,21)),1:((155,206),(23,19))}"
19,"{0:((48,166),(20,17)),1:((155,206),(23,19))}"
20,"{0:((51,166),(22,19)),1:((155,206),(23,19))}"
21,"{0:((57,172),(22,18)),1:((156,206),(23,19))}"
22,"{0:((61,172),(24,21)),1:((155,206),(23,19))}"
23,"{0:((62,175),(20,17)),1:((155,206),(23,19))}"
24,"{0:((67,175),(22,18)),1:((154,206),(23,19))}"
25,"{0:((72,178),(22,19)),1:((155,206),(23,19))}"
26,"{0:((77,181),(23,20)),1:((154,206),(23,19))}"
27,"{0:((82,182),(23,22)),1:((155,206),(23,19))}"
28,"{0:((88,186),(23,21)),1:((155,206),(23,19))}"
29,"{0:((88,188),(21,17)),1:((156,206),(23,19))}"
30,"{0:((93,190),(21,17)),1:((155,206),(23,19))}"
31,"{0:((99,193),(23,20)),1:((155,206),(23,19))}"
32,"{0:((105,194),(24,21)),1:((155,206),(23,19))}"
33,"{0:((111,196),(23,21)),1:((155,206),(23,19))}"
