frame_num,detection_result
34,"{0:((117,199),(24,22)),1:((155,206),(23,19))}"
35,"{0:((116,201),(23,20)),1:((156,206),(23,19))}"
36,"{0:((122,204),(23,19)),1:((154,206),(23,19))}"
37,"{0:((128,209),(23,19)),1:((155,206),(23,19))}"
38,"{0:((135,210),(22,20)),1:((155,206),(23,19))}"
39,"{0:((141,214),(22,20)),1:((155,206),(23,19))}"
40,"{1:((155,206),(23,19))}"
41,"{0:((148,218),(22,19)),1:((155,206),(23,19))}"
42,"{0:((153,222),(27,23)),1:((157,203),(23,19))}"
43,"{0:((158,232),(23,21)),1:((159,197),(23,19))}"
44,"{0:((163,240),(23,21)),1:((161,192),(23,19))}"
45,"{0:((168,248),(23,21)),1:((164,188),(20,21))}"
46,"{0:((172,255),(26,22)),1:((164,184),(23,19))}"
47,"{0:((173,255),(24,22)),1:((164,184),(23,19))}"
48,"{0:((179,264),(24,23)),1:((165,180),(24,20))}"
49,"{0:((184,273),(23,21)),1:((167,176),(23,19))}"
50,"{0:((188,281),(24,22)),1:((170,171),(23,19))}"
51,"{0:((194,289),(27,23)),1:((170,167),(23,19))}"
52,"{0:((199,300),(28,23)),1:((171,163),(23,19))}"
53,"{0:((200,298),(25,21)),1:((171,163),(23,19))}"
54,"{0:((206,306),(27,23)),1:((173,159),(23,19))}"
55,"{0:((210,316),(26,24)),1:((175,155),(24,20))}"
56,"{0:((218,326),(25,21)),1:((177,152),(22,19))}"
57,"{0:((224,335),(25,23)),1:((177,147),(23,19))}"
58,"{0:((229,345),(25,21)),1:((180,143),(23,19))}"
59,"{0:((228,347),(26,22)),1:((180,143),(23,19))}"
60,"{0:((233,356),(25,21)),1:((181,139),(23,19))}"
61,"{1:((183,134),(23,19))}"
62,"{1:((185,130),(23,19))}"
63,"{0:((234,376),(25,22)),1:((185,127),(23,19))}"
64,"{0:((229,381),(28,24)),1:((187,122),(23,19))}"
65,"{0:((229,383),(27,23)),1:((187,122),(23,19))}"
66,"{0:((226,388),(28,23)),1:((188,118),(23,19))}"
67,"{0:((222,395),(28,23)),1:((190,114),(23,19))}"
68,"{0:((219,398),(28,23)),1:((194,111),(22,19))}"
69,"{0:((217,402),(26,22)),1:((194,106),(24,20))}"
70,"{0:((213,408),(27,23)),1:((194,102),(23,19))}"
71,"{0:((214,407),(28,24)),1:((194,102),(23,19))}"
72,"{0:((211,414),(25,22)),1:((196,98),(23,19))}"
73,"{0:((207,420),(27,23)),1:((198,94),(23,19))}"
74,"{0:((204,425),(28,23)),1:((200,90),(23,19))}"
75,"{0:((203,429),(24,23)),1:((200,86),(23,19))}"
76,"{0:((199,432),(27,23)),1:((202,82),(23,19))}"
77,"{0:((200,433),(27,24)),1:((202,82),(23,19))}"
78,"{0:((197,438),(26,23)),1:((203,78),(23,19))}"
79,"{0:((194,440),(27,23)),1:((203,78),(24,20))}"
80,"{0:((190,434),(28,23)),1:((206,80),(23,19))}"
81,"{0:((188,430),(27,23)),1:((207,82),(23,19))}"
82,"{0:((186,426),(26,23))}"
83,"{0:((187,426),(25,22))}"
84,"{0:((185,424),(25,21)),1:((209,85),(23,19))}"
85,"{0:((181,420),(26,22)),1:((209,86),(23,19))}"
86,"{0:((179,417),(25,21)),1:((210,87),(23,19))}"
87,"{0:((177,413),(24,22)),1:((210,86),(24,22))}"
88,"{0:((175,409),(24,23)),1:((212,88),(24,22))}"
89,"{0:((175,409),(25,22)),1:((212,89),(24,22))}"
90,"{0:((173,406),(27,23)),1:((213,92),(23,19))}"
91,"{0:((171,402),(25,22)),1:((214,93),(23,19))}"
92,"{0:((169,400),(25,21)),1:((215,94),(23,19))}"
93,"{0:((166,396),(25,22)),1:((216,93),(24,22))}"
94,"{0:((164,394),(24,22)),1:((218,95),(24,22))}"
95,"{0:((162,393),(26,22)),1:((217,97),(23,19))}"
96,"{0:((161,387),(26,24)),1:((218,99),(23,19))}"
97,"{0:((161,387),(23,21)),1:((219,100),(23,19))}"
98,"{0:((158,382),(25,22)),1:((220,101),(23,19))}"
99,"{0:((155,381),(25,22))}"
100,"{0:((155,378),(23,21))}"
101,"{0:((154,377),(24,22))}"
102,"{0:((152,373),(24,22)),1:((224,106),(23,19))}"
103,"{0:((149,370),(25,21))}"
104,"{0:((148,368),(24,21)),1:((225,108),(23,19))}"
105,"{0:((145,365),(24,21)),1:((225,109),(23,19))}"
106,"{0:((144,362),(24,21)),1:((226,111),(23,19))}"
107,"{0:((144,362),(24,21)),1:((226,111),(23,19))}"
108,"{0:((142,359),(24,20)),1:((227,112),(23,19))}"
109,"{0:((141,356),(23,21)),1:((227,113),(23,19))}"
110,"{0:((139,354),(23,21)),1:((230,112),(24,22))}"
111,"{0:((136,350),(26,22)),1:((229,116),(23,19))}"
112,"{0:((135,348),(23,21)),1:((230,117),(23,19))}"
113,"{0:((136,348),(23,21)),1:((230,117),(23,19))}"
114,"{0:((133,345),(24,21)),1:((231,118),(23,19))}"
115,"{0:((132,342),(24,21)),1:((232,119),(23,19))}"
116,"{0:((129,340),(25,21)),1:((233,120),(23,19))}"
117,"{0:((128,338),(24,20)),1:((233,121),(23,19))}"
118,"{0:((126,335),(23,20)),1:((233,123),(23,19))}"
119,"{0:((127,336),(22,19)),1:((233,123),(23,19))}"
120,"{0:((125,332),(24,22)),1:((234,124),(23,19))}"
121,"{0:((124,330),(23,21)),1:((234,125),(23,19))}"
122,"{0:((122,328),(23,21)),1:((234,125),(24,22))}"
123,"{0:((121,326),(22,19)),1:((236,126),(24,22))}"
124,"{0:((118,321),(24,21)),1:((236,129),(24,20))}"
125,"{0:((117,321),(27,23)),1:((236,129),(23,19))}"
126,"{0:((118,320),(23,21)),1:((237,128),(20,21))}"
127,"{0:((116,316),(24,22)),1:((236,131),(23,19))}"
128,"{0:((114,314),(23,20))}"
129,"{0:((113,314),(23,20))}"
130,"{0:((111,311),(23,21))}"
131,"{0:((112,312),(22,19))}"
132,"{0:((110,309),(23,19))}"
133,"{0:((108,305),(24,21))}"
134,"{0:((106,303),(23,21))}"
135,"{0:((106,303),(22,19))}"
136,"{0:((104,298),(24,22))}"
137,"{0:((104,299),(23,21))}"
138,"{0:((102,297),(23,19))}"
139,"{0:((101,295),(22,21))}"
140,"{0:((100,293),(22,21)),1:((243,141),(14,21))}"
141,"{0:((98,290),(24,21)),1:((243,142),(14,21))}"
142,"{0:((97,289),(24,21)),1:((245,142),(14,21))}"
143,"{0:((98,289),(22,20))}"
144,"{0:((97,288),(23,20)),1:((244,141),(14,21))}"
145,"{0:((94,284),(23,20)),1:((245,145),(14,21))}"
146,"{0:((94,283),(23,19))}"
147,"{0:((92,281),(22,20))}"
148,"{0:((91,278),(23,20))}"
149,"{0:((91,278),(23,21))}"
