frame_num,detection_result
44,"{0:((141,1182),(39,39)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((353,523),(43,39))}"
45,"{0:((142,1183),(38,37)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((350,514),(39,37))}"
46,"{0:((142,1183),(39,38)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((344,508),(41,37))}"
47,"{0:((140,1184),(40,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((340,497),(39,37))}"
48,"{0:((142,1184),(39,39)),1:((102,250),(35,35)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((336,494),(40,36))}"
49,"{0:((143,1183),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((330,484),(42,39))}"
50,"{0:((142,1183),(39,37)),1:((102,250),(35,35)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((327,478),(40,36))}"
51,"{0:((142,1183),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((323,468),(41,37))}"
52,"{0:((142,1183),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((324,469),(39,38))}"
53,"{0:((142,1183),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((318,462),(41,38))}"
54,"{0:((142,1182),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((316,455),(40,37))}"
55,"{0:((142,1181),(39,39)),1:((102,250),(35,35)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((311,446),(40,36))}"
56,"{0:((142,1184),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((305,438),(40,36))}"
57,"{0:((142,1183),(39,37)),1:((102,250),(35,34)),2:((428,436),(45,41)),3:((146,272),(32,32)),4:((303,433),(38,38))}"
58,"{0:((141,1182),(39,38)),1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((298,425),(38,38))}"
59,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((293,416),(41,37))}"
60,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((291,411),(40,36))}"
61,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((285,401),(41,37))}"
62,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((283,398),(39,38))}"
63,"{1:((102,250),(35,34)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((280,391),(39,35))}"
64,"{1:((102,250),(35,35)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((273,382),(41,39))}"
65,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((272,376),(39,37))}"
66,"{1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((270,371),(39,36))}"
67,"{1:((102,250),(35,35)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((264,363),(41,39))}"
68,"{0:((129,1119),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((261,359),(40,37))}"
69,"{0:((128,1110),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((258,351),(40,36))}"
70,"{0:((126,1100),(37,35)),1:((102,250),(35,34)),2:((428,433),(45,41)),3:((146,272),(32,32)),4:((255,345),(39,37))}"
71,"{0:((125,1091),(39,37)),1:((102,250),(35,35)),2:((428,435),(45,42)),3:((146,272),(32,32)),4:((249,340),(40,36))}"
72,"{0:((123,1083),(39,37)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((247,332),(38,36))}"
73,"{0:((121,1074),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((244,326),(39,36))}"
74,"{0:((119,1064),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((241,320),(39,37))}"
75,"{0:((118,1055),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((237,315),(41,38))}"
76,"{0:((116,1047),(36,35)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((235,309),(39,36))}"
77,"{0:((113,1039),(38,36)),1:((102,250),(35,34)),2:((428,433),(45,42)),3:((146,272),(32,32)),4:((232,301),(38,38))}"
78,"{0:((112,1029),(40,39)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((229,301),(39,35))}"
79,"{0:((111,1021),(39,38)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((223,292),(40,36))}"
80,"{0:((110,1013),(39,37)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((223,287),(37,37))}"
81,"{0:((107,1003),(40,38)),1:((102,250),(35,34)),2:((428,436),(45,41)),3:((146,272),(32,32)),4:((221,281),(39,35))}"
82,"{0:((106,995),(40,39)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((218,277),(38,36))}"
83,"{0:((106,989),(36,35)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((215,270),(39,36))}"
84,"{0:((103,980),(37,35)),1:((102,250),(35,34)),2:((428,434),(45,42)),3:((146,272),(32,32)),4:((211,263),(39,37))}"
85,"{0:((103,971),(36,35)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((208,261),(38,37))}"
86,"{0:((101,966),(35,34)),1:((102,250),(35,34)),2:((428,435),(45,41)),3:((146,272),(32,32)),4:((203,254),(39,36))}"
